participant,activity,window,mean,standar deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count
2,Social Conversation 5,3,659.1111111,78.72565271,352,748,672,668,-2.601427193,7.13140767,702.4,676,668,645.6,663.7960419,40,0.666666667,0.333333333,396,6436.102564,0.111111111,0.296296296,165.8303118,3,8,153.8040712,7,82.07407407,75.11111111,48.74074074,1.683890578,27
2,Social Conversation 5,4,671.2470588,43.79844367,584,764,672,664,0.06541492,-0.68511774,708,680,660,636,672.6744515,60,0.505882353,0.494117647,180,1941.140616,0.047058824,0.352941176,78.85175965,4,30,74.75610725,14,62.68235294,75.2,64.65882353,0.969432314,85
2,Social Conversation 5,5,665.4588235,47.18463183,584,804,656,648,0.764341725,0.365870114,700.8,665.6,648,632,667.1295491,56,0.4,0.6,220,2252.894118,0.058823529,0.376470588,26.28114905,5,32,17.16231123,15,63.95294118,65.88235294,57.17647059,1.118518519,85
2,Social Conversation 5,6,679.0361446,46.50105473,584,804,676,656,0.309809319,-0.054000671,712,688.8,660,637.6,680.6265009,60,0.481927711,0.518072289,220,2188.71819,0.048192771,0.373493976,25.09688543,4,31,15.66241119,13,69.78313253,63.42168675,75.22891566,0.927610506,83
2,Social Conversation 5,7,681.8139535,37.33273133,584,756,684,704,-0.441299505,0.066482944,712,700,676,652,682.8352656,48,0.534883721,0.465116279,172,1410.129685,0,0.220930233,17.82529597,0,19,11.23947566,14,72.04651163,65.06976744,74.3255814,0.969336671,86
2,Social Conversation 5,8,678.1904762,34.31176259,628,756,678,704,0.169412531,-0.826176705,707.2,694.4,668,640.8,679.0578908,59,0.5,0.5,128,1206.011614,0,0.095238095,15.03167388,0,4,9.548025077,3,62,60.0952381,61.9047619,1.001538462,42
2,rest,1,662.5287356,33.19113546,604,756,656,656,0.608265831,0.12516701,687.2,666.4,652,636,663.3596136,42,0.425287356,0.574712644,152,1114.461374,0.045977011,0.172413793,19.47547477,4,15,12.52030047,14,70.20689655,68.04597701,58.62068966,1.197647059,87
2,rest,2,679.8588235,49.62142634,584,840,680,684,0.53263301,0.704252666,713.6,684,668,647.2,681.6672985,56,0.505882353,0.494117647,256,2491.59888,0.023529412,0.164705882,19.66955938,2,14,12.14802017,12,60.09411765,71.52941176,65.92941176,0.911491792,85
2,rest,3,672.3218391,53.55317354,576,840,668,668,0.563747238,0.283354103,716,684,656,624,674.4513309,74,0.459770115,0.540229885,264,2901.290564,0.011494253,0.264367816,20.2587908,1,23,12.18320578,11,76.96551724,76.64367816,57.6091954,1.335993615,87
2,rest,4,665.3023256,33.25135765,576,736,668,684,-0.167151237,-0.147682575,692,676,656,636,666.1327474,48,0.511627907,0.488372093,160,1118.660465,0.034883721,0.279069767,102.5647572,3,24,98.20065892,12,72.27906977,57.11627907,66.55813953,1.085953878,86
2,rest,5,671.8588235,31.20450682,624,792,668,664,1.067807211,1.542240121,696,673.6,660,644,672.5830804,44,0.447058824,0.552941176,168,985.3131653,0.047058824,0.270588235,103.8276961,4,23,99.04702381,17,64.98823529,72.84705882,61.36470588,1.05904908,85
2,rest,6,674.4761905,34.71738833,632,792,668,644,1.247466507,1.570179755,696,674.4,660,644,675.3691054,47,0.404761905,0.595238095,160,1234.694541,0.047619048,0.285714286,26.14033422,2,12,18.52888158,8,63.04761905,64,61.61904762,1.023183926,42
2,Cry 7-2,1,709.8765432,57.25605962,588,860,716,688,0.204683015,0.400859299,744,724,700,656,712.1818328,56,0.555555556,0.444444444,272,3319.234568,0.074074074,0.345679012,29.14477177,6,28,21.05513474,11,67.11111111,77.92592593,72.14814815,0.930184805,81
2,Cry 7-2,1,671.8181818,39.67096071,568,768,672,656,-0.288931434,-0.060033676,710.4,684.8,660,641.6,672.9884505,61,0.511363636,0.488636364,200,1591.874608,0.011363636,0.227272727,19.22641861,1,20,12.26699064,12,69.95454545,72.22727273,70.72727273,0.98907455,88
2,Cry 7-2,1,632.0869565,43.133678,556,796,632,652,1.415269796,3.534319295,652,638.4,616,600,633.5569704,41,0.434782609,0.565217391,240,1880.959388,0.043478261,0.141304348,23.45535858,4,13,18.32761472,13,62.60869565,61.47826087,63,0.99378882,92
2,rest,1,654.6222222,45.33396514,552,824,652,656,0.584269873,1.243819454,688.8,660,644,619.2,656.1900809,55,0.488888889,0.511111111,272,2078.260175,0.055555556,0.166666667,27.8874141,5,15,22.51941047,12,69.02222222,70.13333333,65.86666667,1.047908232,90
2,rest,2,636.4556962,40.8665,552,824,632,604,1.240208439,4.09158689,664,644,620,604,637.7663554,48,0.455696203,0.544303797,272,1691.481986,0.063291139,0.139240506,27.93765954,5,11,23.00895975,12,62.63291139,67.08860759,65.56962025,0.955212355,79
2,rest,3,660.109589,45.02649498,596,760,648,640,0.535939678,-0.742560404,704,664.8,640,616,661.6434499,60,0.452054795,0.547945205,164,2055.543379,0.01369863,0.219178082,72.71938936,1,16,69.38946681,6,60.2739726,65.64383562,70.68493151,0.852713178,73
2,rest,4,650.7252747,44.88766588,596,760,640,616,0.701365959,-0.49004574,688,664,628,608,652.2716349,66,0.428571429,0.571428571,164,2037.290354,0.010989011,0.175824176,16.86020957,1,16,11.3267083,7,69.58241758,63.73626374,63.69230769,1.092477571,91
2,rest,5,632.9892473,30.26850971,568,700,628,608,0.334279245,-0.528460485,662.4,636,620,608,633.7125294,40,0.451612903,0.548387097,132,926.1411875,0.010752688,0.11827957,15.80313673,1,11,10.0764563,15,63.95698925,59.95698925,66.49462366,0.961836999,93
2,rest,6,631.9130435,28.87441028,568,700,632,624,-0.048585965,-0.051350005,656,640,624,608,632.572388,32,0.52173913,0.47826087,132,852.2589372,0,0.086956522,14.59375818,0,4,7.47618441,8,64.60869565,52.43478261,70.26086957,0.919554455,46
2,sing-a-song,1,663.011236,48.8217336,556,772,660,660,0.096371959,-0.329492049,713.6,667.2,652,624,664.8063332,72,0.438202247,0.561797753,216,2410.6476,0.011235955,0.258426966,21.55753401,1,23,15.74276693,17,67.46067416,64.62921348,64.40449438,1.047452896,89
2,sing-a-song,2,682.2988506,48.72869176,580,816,688,660,-0.027028988,-0.181402339,720,696,672,640,684.0367,60,0.528735632,0.471264368,236,2402.095696,0.045977011,0.436781609,28.65674968,4,38,18.08100276,17,70.43678161,71.77011494,63.54022989,1.10853835,87
2,sing-a-song,3,693.5058824,66.65656025,580,860,684,640,0.646044529,-0.188141799,740.8,696,670.4,639.2,696.7018773,84,0.435294118,0.564705882,280,4495.991036,0.094117647,0.447058824,32.18695388,8,38,20.9581702,16,61.08235294,72,64.23529412,0.950915751,85
2,sing-a-song,4,707.373494,53.08953811,600,860,696,688,0.971813957,0.793369329,738.4,704,688,676,709.3629248,46,0.385542169,0.614457831,260,2852.870996,0.060240964,0.265060241,27.52914199,5,22,20.61585997,15,78.84337349,68.86746988,75.6626506,1.042038217,83
2,sing-a-song,5,670.2988506,38.53707424,588,788,676,656,0.245948538,0.801973637,696,680,665.6,640.8,671.4057307,40,0.574712644,0.425287356,200,1502.374766,0.022988506,0.137931034,17.95083725,2,12,12.91717594,13,72.13793103,69.88505747,68,1.060851927,87
2,sing-a-song,6,666.4090909,46.01003753,560,768,668,672,-0.036088601,-0.381372739,704.8,676,656,624,667.995509,57,0.522727273,0.477272727,208,2141.256008,0.034090909,0.261363636,21.03527415,3,23,14.47348727,12,67.45454545,65.04545455,67.27272727,1.002702703,88
2,sing-a-song,7,679.6781609,46.66424318,552,780,684,684,-0.491828718,0.228185796,712,692,676,640,681.2781767,58,0.574712644,0.425287356,228,2202.871959,0.045977011,0.344827586,23.79368687,4,30,15.11971338,13,74.11494253,72.09195402,61.70114943,1.20119225,87
2,sing-a-song,8,676.2857143,36.57105655,608,780,682,684,0.240220725,0.23639897,704,686.4,673.6,640,677.2738069,46,0.523809524,0.476190476,172,1370.062718,0.023809524,0.333333333,23.51543344,1,14,13.54938968,8,66.38095238,61.14285714,59.9047619,1.108108108,42
2,rest,1,619.5319149,58.05311254,516,756,624,640,0.069460611,-0.364001533,661.6,636,608,558.4,622.2458979,67,0.531914894,0.468085106,240,3406.402196,0.021276596,0.180851064,19.47573741,2,17,13.93225576,10,62,69.40425532,58.55319149,1.058866279,94
2,rest,2,630.6341463,52.93795545,516,756,628,616,0.311932612,-0.047704328,667.2,636,616,588.8,632.8521578,60,0.463414634,0.536585366,240,2837.024992,0.036585366,0.256097561,23.11008328,3,21,16.01809584,12,65.02439024,58.09756098,64.3902439,1.009848485,82
2,rest,3,633.1566265,35.9036468,576,736,628,584,0.840271593,0.554720375,654.4,636,624,601.6,634.1737818,38,0.421686747,0.578313253,160,1304.792242,0.036144578,0.192771084,19.79649551,3,16,13.35051476,13,59.03614458,57.73493976,72.53012048,0.813953488,83
2,rest,4,664.9156627,53.8961976,576,908,660,712,1.229141484,3.7676625,712,676,644,624,667.0964237,70,0.445783133,0.554216867,332,2940.224508,0.048192771,0.228915663,22.68998552,4,19,15.88437633,8,60.81927711,56.77108434,69.87951807,0.870344828,83
2,rest,5,679.3246753,44.76270524,580,908,676,680,1.961971521,8.034823221,710.4,680,665.6,648.8,680.7978513,40,0.454545455,0.545454545,328,2030.064252,0.025974026,0.233766234,21.9289013,2,18,15.33913858,14,71.74025974,73.09090909,65.97402597,1.087401575,77
2,rest,6,658.6,21.47649878,608,720,656,656,0.134461555,0.656910589,676.8,660,654.4,644,658.950074,28,0.425,0.575,112,473.0666667,0,0.175,16.45506702,0,7,10.68637233,10,63.8,65.4,66.2,0.963746224,40
2,Game 4,1,755.9480519,39.14670911,672,880,752,700,0.420362414,0.079063267,788,764,741.6,720,756.9609779,56,0.467532468,0.532467532,208,1552.628845,0.090909091,0.467532468,29.54746405,7,36,17.45298393,14,78.75324675,82.5974026,69.87012987,1.127137546,77
2,Game 4,2,744.9620253,33.85278742,692,880,740,720,1.098621479,2.089240923,772,748,736,720,745.7308029,40,0.430379747,0.569620253,188,1160.703668,0.101265823,0.405063291,28.34223088,8,32,18.17961376,20,78.07594937,77.67088608,74.2278481,1.051841746,79
2,Game 4,3,724.5925926,29.62888888,664,812,720,704,0.472564942,-0.145900903,748,732,712,700,725.1981083,36,0.432098765,0.567901235,148,888.8444444,0.049382716,0.345679012,23.14303351,4,28,15.25909565,23,75.30864198,71.95061728,73.72839506,1.021433356,81
